Incident Date,ID,District,Bias Code,Bias Code2,Bias,Status,# of Victims,Victim Type,# of Suspects,# Suspects less than 18 years old,# Suspects 18-35 years old,# Suspects 36-45 years old,# Suspects 46-55 years old,# Suspects >55 years old,Unknown
08/11/2017,170524265,1D,21 - Anti-Jewish,,Vandalism,OPEN,,Government,,,,,,,X
03/14/2016,16012552,1D,12 - Anti-Black,,Written Intimidation,N/A,1,Individual(s),1,1,,,,,
11/12/2016,16058486,3D,32 - Anti-Hispanic,,Vandalism,OPEN,,Religious Organization,,,,,,,X
06/26/2016,16032895,3D,12 - Anti-Black,,Vandalism,OPEN,1,Individual(s),,,,,,,X
02/08/2019,190006274,1D,12 - Anti-Black,,Written Intimidation,N/A,,Individual(s),4,4,,,,,
08/23/2017,170526402,RCPD,21 - Anti-Jewish,24 - Anti-Islamic,Flyer left behind,OPEN,,Other,,,,,,,X
11/30/2016,16061372,3D,11 - Anti-white,,Vandalism,OPEN,1,Individual(s),,,,,,,X
02/14/2017,17008087,GCPD,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
10/24/2017,170538425,2D,14 - Anti-Asian,,Intimidation,RTOJ,1,Individual(s),1,1,,,,,
02/23/2017,17009753,5D,43 - Anti-Homosexual,,Written Intimidation,N/A,1,Individual(s),2,,,1,1,,
12/21/2016,16065495,3D,11 - Anti-white,,Vandalism,OPEN,,School/College,,,,,,,X
04/01/2017,17016633,1D,12 - Anti-Black,,Verbal Intimidation,N/A,2,Individual(s),1,,1,,,,
02/28/2017,17010637,5D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
12/17/2016,16064683,6D,71 - Anti-Transgender,,Assault (physical),OPEN,2,Individual(s),1,,1,,,,
06/26/2017,170515971,3D,12 - Anti-Black,,Vandalism,OPEN,1,Individual(s),,,,,,,X
03/25/2016,16014473,2D,21 - Anti-Jewish,,Flyer left behind,N/A,,Other,,,,,,,X
08/24/2016,16043077,5D,21 - Anti-Jewish,43 - Anti-Homosexual,Written Intimidation,INACTIVE,1,Individual(s),,,,,,,X
07/14/2016,16035697,4D,21 - Anti-Jewish,,Verbal Intimidation,OPEN,1,Individual(s),,,,,,,X
11/28/2016,16061017,6D,21 - Anti-Jewish,,Vandalism,OPEN,,Government,,,,,,,X
11/12/2016,16058365,3D,24 - Anti-Islamic,,Verbal Intimidation,N/A,,Religious Organization,1,,,,,1,
03/30/2017,170500285,2D,12 - Anti-Black,,Verbal Intimidation,N/A,1,Individual(s),3,3,,,,,
02/27/2017,17012598,5D,24 - Anti-Islamic,,Written Intimidation,N/A,,Religious Organization,,,,,,,X
02/13/2019,190007372,5D,21 - Anti-Jewish,,Written Intimidation,N/A,,School/College,1,1,,,,,
12/29/2017,170551097,2D,43 - Anti-Homosexual,,Assault (physical),OPEN,1,Individual(s),1,,,,,,X
08/23/2017,170526440,4D,12 - Anti-Black,,Assault (physical),OPEN,1,Individual(s),1,,,,1,,
02/27/2017,17010553,4D,24 - Anti-Islamic,,Written Intimidation,N/A,,Religious Organization,,,,,,,X
11/15/2017,170543121,4D,21 - Anti-Jewish,12 - Anti-Black,Written Intimidation,OPEN,1,Individual(s),3,3,,,,,
